FID,Updated,PCR,Antigen,TotalCases,TotalDeaths,DataNotes,RecordStat,Lab
1,2020/03/13 17:00:00+00,0,0,3,0,,Past,3/13/2020
2,2020/03/14 20:23:59+00,0,0,0,0,,Past,3/14/2020
3,2020/03/15 20:23:00+00,0,0,0,0,,Past,3/15/2020
4,2020/03/16 17:00:00+00,0,0,6,0,,Past,3/16/2020
5,2020/03/17 17:00:00+00,0,0,17,0,,Past,3/17/2020
6,2020/03/18 17:00:00+00,0,0,24,0,,Past,3/18/2020
7,2020/03/19 17:00:00+00,0,0,41,0,,Past,3/19/2020
8,2020/03/20 17:00:00+00,0,0,58,0,,Past,3/20/2020
9,2020/03/21 17:00:00+00,0,0,60,0,,Past,3/21/2020
10,2020/03/22 17:00:00+00,0,0,79,0,,Past,3/22/2020
11,2020/03/23 17:00:00+00,0,0,86,0,,Past,3/23/2020
12,2020/03/24 17:00:00+00,0,0,98,0,,Past,3/24/2020
13,2020/03/25 17:00:00+00,0,0,119,0,,Past,3/25/2020
14,2020/03/26 17:00:00+00,0,0,137,0,,Past,3/26/2020
15,2020/03/27 17:00:00+00,0,0,160,1,,Past,3/27/2020
16,2020/03/28 21:53:59+00,0,0,179,1,,Past,3/28/2020
17,2020/03/29 22:18:00+00,0,0,200,1,,Past,3/29/2020
18,2020/03/30 20:48:00+00,0,0,206,2,,Past,3/30/2020
19,2020/03/31 20:51:00+00,0,0,244,2,,Past,3/31/2020
20,2020/04/01 21:29:00+00,0,0,305,3,,Past,4/1/2020
21,2020/04/02 20:35:00+00,0,0,351,3,,Past,4/2/2020
22,2020/04/03 20:55:00+00,0,0,430,4,,Past,4/3/2020
23,2020/04/04 22:05:00+00,0,0,460,6,,Past,4/4/2020
24,2020/04/05 20:32:00+00,0,0,484,6,,Past,4/5/2020
25,2020/04/06 21:46:00+00,0,0,502,6,,Past,4/6/2020
26,2020/04/07 22:02:59+00,0,0,554,7,,Past,4/7/2020
27,2020/04/08 21:53:00+00,0,0,597,7,,Past,4/8/2020
28,2020/04/09 23:55:00+00,0,0,642,7,,Past,4/9/2020
29,2020/04/10 23:12:00+00,0,0,690,9,,Past,4/10/2020
30,2020/04/11 21:59:59+00,0,0,744,9,,Past,4/11/2020
31,2020/04/12 21:59:59+00,0,0,774,9,,Past,4/12/2020
32,2020/04/13 21:55:00+00,0,0,856,11,,Past,4/13/2020
33,2020/04/14 17:03:00+00,0,0,900,14,,Past,4/14/2020
34,2020/04/15 17:36:59+00,0,0,977,17,,Past,4/15/2020
35,2020/04/16 17:58:00+00,0,0,1029,18,,Past,4/16/2020
36,2020/04/17 17:44:00+00,0,0,1074,21,,Past,4/17/2020
37,2020/04/18 17:45:00+00,0,0,1092,23,,Past,4/18/2020
38,2020/04/19 17:51:00+00,0,0,1108,25,,Past,4/19/2020
39,2020/04/20 18:16:00+00,0,0,1174,26,,Past,4/20/2020
40,2020/04/21 17:58:59+00,0,0,1233,27,,Past,4/21/2020
41,2020/04/22 17:52:59+00,0,0,1263,28,,Past,4/22/2020
42,2020/04/23 17:58:00+00,0,0,1312,31,,Past,4/23/2020
43,2020/04/24 18:08:00+00,0,0,1379,32,,Past,4/24/2020
44,2020/04/25 17:39:00+00,0,0,1396,36,,Past,4/25/2020
45,2020/04/26 18:03:00+00,0,0,1412,39,,Past,4/26/2020
46,2020/04/27 17:54:00+00,0,0,1464,42,,Past,4/27/2020
47,2020/04/28 17:45:59+00,0,0,1539,42,,Past,4/28/2020
48,2020/04/29 21:59:59+00,0,0,1591,44,,Past,4/29/2020
49,2020/04/30 21:59:59+00,0,0,1654,47,,Past,4/30/2020
50,2020/05/01 21:59:59+00,0,0,1683,51,,Past,5/1/2020
51,2020/05/02 21:59:59+00,0,0,1714,51,,Past,5/2/2020
52,2020/05/03 22:57:59+00,0,0,1756,52,,Past,5/3/2020
53,2020/05/04 21:59:59+00,0,0,1816,53,,Past,5/4/2020
54,2020/05/05 21:59:59+00,0,0,1876,58,,Past,5/5/2020
55,2020/05/06 21:59:59+00,0,0,1946,57,,Past,5/6/2020
56,2020/05/07 21:59:59+00,0,0,2002,59,,Past,5/7/2020
57,2020/05/08 21:59:59+00,0,0,2071,60,,Past,5/8/2020
58,2020/05/09 21:59:59+00,0,0,2095,60,,Past,5/9/2020
59,2020/05/10 21:59:59+00,0,0,2127,60,,Past,5/10/2020
60,2020/05/11 21:59:59+00,0,0,2171,65,,Past,5/11/2020
61,2020/05/12 21:59:59+00,0,0,2235,71,,Past,5/12/2020
62,2020/05/13 21:00:00+00,0,0,2288,72,,Past,5/13/2020
63,2020/05/14 16:15:59+00,0,0,2345,74,,Past,5/14/2020
64,2020/05/15 21:59:59+00,0,0,2381,77,,Past,5/15/2020
65,2020/05/16 21:59:59+00,0,0,2425,77,,Past,5/16/2020
66,2020/05/17 22:38:59+00,0,0,2459,77,,Past,5/17/2020
67,2020/05/18 20:19:00+00,0,0,2537,79,,Past,5/18/2020
68,2020/05/19 22:34:59+00,0,0,2595,81,,Past,5/19/2020
69,2020/05/20 22:40:00+00,0,0,2644,82,,Past,5/20/2020
70,2020/05/21 21:59:59+00,0,0,2712,83,,Past,5/21/2020
71,2020/05/22 21:59:59+00,0,0,2761,83,,Past,5/22/2020
72,2020/05/23 22:38:00+00,0,0,2788,83,,Past,5/23/2020
73,2020/05/24 22:43:00+00,0,0,2847,84,,Past,5/24/2020
74,2020/05/25 22:44:59+00,0,0,2933,85,,Past,5/25/2020
75,2020/05/26 21:59:59+00,0,0,2984,88,,Past,5/26/2020
76,2020/05/27 22:06:59+00,0,0,3057,91,,Past,5/27/2020
77,2020/05/28 22:14:00+00,0,0,3124,92,,Past,5/28/2020
78,2020/05/29 22:22:59+00,0,0,3186,93,,Past,5/29/2020
79,2020/05/30 16:31:59+00,0,0,3232,93,,Past,5/30/2020
80,2020/05/31 15:33:00+00,0,0,3272,93,,Past,5/31/2020
81,2020/06/01 16:49:00+00,0,0,3360,93,,Past,6/1/2020
82,2020/06/02 22:04:00+00,0,0,3433,93,,Past,6/2/2020
83,2020/06/03 14:12:00+00,0,0,3501,95,,Past,6/3/2020
84,2020/06/04 16:31:00+00,0,0,3562,95,,Past,6/4/2020
85,2020/06/05 15:10:00+00,0,0,3616,97,,Past,6/5/2020
86,2020/06/06 15:10:00+00,0,0,3662,97,,Past,6/6/2020
87,2020/06/07 22:43:00+00,0,0,3697,97,,Past,6/7/2020
88,2020/06/08 22:04:00+00,0,0,3815,98,,Past,6/8/2020
89,2020/06/09 22:02:00+00,0,0,3976,99,,Past,6/9/2020
90,2020/06/10 22:28:00+00,0,0,4109,99,,Past,6/10/2020
91,2020/06/11 22:18:00+00,0,0,4238,101,,Past,6/11/2020
92,2020/06/12 22:27:00+00,0,0,4314,104,,Past,6/12/2020
93,2020/06/13 22:08:00+00,0,0,4461,104,,Past,6/13/2020
94,2020/06/14 22:31:59+00,0,0,4545,104,,Past,6/14/2020
95,2020/06/15 22:12:00+00,0,0,4664,106,,Past,6/15/2020
96,2020/06/16 22:05:59+00,0,0,4771,106,,Past,6/16/2020
97,2020/06/17 22:05:00+00,0,0,4991,108,,Past,6/17/2020
98,2020/06/18 18:06:00+00,0,0,,,,Past,6/19/2020
99,2020/06/19 22:33:00+00,0,0,5286,108,,Past,6/18/2020
100,2020/06/20 15:42:00+00,0,0,5704,109,,Past,6/20/2020
101,2020/06/21 17:00:59+00,0,0,6210,110,,Past,6/21/2020
